Trace,Search,Category,State,Event start,End,baseline pa,peak amp,time to peak,time of peak,antipeak a,time to antipeak,time of antipeak,half width,half amplitude,time to rise,time to decay,rise tau,decay tau,max rise slope,time to max rise slope,max decay,time to max decay slope,rise slope 10% to 90%,decay slope 90% to 10%,decay time,area pH,area pA,instant freq,interevent interval,sd of fit,template
2,1,1,A,160.6000977,162.3996124,1.991999984,-52.65118027,0.899902344,161.5,-9.926569939,0,160.6000977,Not found,-26.32559013,0.265339017,Not found,0.698452234,2.930217028,-73.17073059,0.249755859,36.76470566,0.25,Not found,Not found,Not found,Not found,-67.16749573,N/A,Not found,N/A,N/A
2,1,1,A,401,402.300293,1.991999984,-37.3923912,0.600097656,401.6000977,-14.80938244,0,401,Not found,-18.6961956,Not found,Not found,0.331000417,0.276915371,-60.97560883,0.150146484,36.5853653,0.550048828,Not found,Not found,Not found,Not found,-39.82848358,4.16492939,240.1000977,N/A,N/A
2,1,1,A,432,434.1000977,1.991999984,-48.37871933,0.700195313,432.7001953,-5.654109478,0,432,Not found,-24.18935966,0.245504439,Not found,0.763824105,0.720091283,-85.78431702,0.25,36.5853653,1.249755859,Not found,Not found,Not found,Not found,-76.6945343,32.15423965,31.10009766,N/A,N/A
2,1,1,A,590.9000244,592.3995972,1.991999984,-45.32696152,0.700195313,591.6002197,-11.75762463,0,590.9000244,Not found,-22.66348076,0.149046689,Not found,0.416748166,9.663235664,-73.17073059,0.150146484,36.76470566,0.149902344,Not found,Not found,Not found,Not found,-50.39715958,6.293266296,158.8999939,N/A,N/A
2,1,1,A,775.6000977,777.300293,1.991999984,-39.83379745,0.799804688,776.3999023,-16.64043808,0,775.6000977,Not found,-19.91689873,0.107431963,Not found,0.884434879,0.424174756,-42.68292618,0.349853516,24.39024353,0.550048828,Not found,Not found,Not found,Not found,-54.78476715,5.411263943,184.7997131,N/A,N/A
2,1,1,A,818.4000244,819.800293,1.991999984,-43.49590683,0.600097656,819.0001221,-11.14727306,0,818.4000244,Not found,-21.74795341,0.131329224,Not found,0.372249126,0.485714167,-85.36585236,0.150146484,36.5853653,0.449951172,Not found,Not found,Not found,Not found,-47.1700058,23.4740715,42.60019302,N/A,N/A
2,1,1,A,1151,1152.800293,1.991999984,-44.71660995,0.700195313,1151.700195,-15.419734,0,1151,Not found,-22.35830498,0.192289516,Not found,1.687792182,1.578306198,-61.27450943,0.25,24.50980377,0.549804688,Not found,Not found,Not found,Not found,-60.96697998,3.005709887,332.7001038,N/A,N/A
2,1,1,A,1264.800049,1266.899658,1.991999984,-50.82012558,0.900390625,1265.700439,-21.52325058,0,1264.800049,Not found,-25.41006279,0.119661793,Not found,0.938150883,6.343435287,-49.01960754,0.450195313,36.5853653,0.349853516,Not found,Not found,Not found,Not found,-80.58753204,8.771914482,114.0001984,N/A,N/A
2,1,1,A,1683.900024,1685.300293,1.991999984,-41.05450058,0.5,1684.400024,-19.08184433,0,1683.900024,Not found,-20.52725029,Not found,Not found,0.385101676,0.452273995,-60.97560883,0.150146484,30.48780441,0.550048828,Not found,Not found,Not found,Not found,-47.78125,2.388347149,418.6996155,N/A,N/A
2,1,1,A,1801.900024,1805.899658,1.991999984,-63.63750839,2.300292969,1804.200317,-17.8611412,0,1801.900024,1.789720535,-31.8187542,1.647946954,3.43766737,2.105721951,2.184780359,-91.46341705,0.150146484,42.68292618,0.649658203,Not found,Not found,Not found,Not found,-169.3913116,8.347225189,119.800293,N/A,N/A
2,1,1,A,1812,1814.300293,1.991999984,-40.44414902,0.600097656,1812.600098,-8.095515251,0,1812,Not found,-20.22207451,0.18241258,Not found,0.608967245,0.395988256,-73.52941132,0.25,30.48780441,0.249755859,Not found,Not found,Not found,Not found,-66.53971863,119.0503845,8.399805069,N/A,N/A
2,1,1,A,1963.400024,1965.000122,1.991999984,-48.98907089,0.600097656,1964.000122,-11.75762463,0,1963.400024,Not found,-24.49453545,0.130553335,Not found,0.325359493,1.87937808,-97.56097412,0.150146484,42.68292618,0.449951172,Not found,Not found,Not found,Not found,-58.30172348,6.605020046,151.3999939,N/A,N/A
2,1,1,A,2110.5,2112.600098,1.991999984,-64.24785614,0.700195313,2111.200195,-5.654109478,0,2110.5,1.553592682,-32.12392807,0.258861214,1.812453985,0.755838752,2.716510296,-128.6764679,0.25,42.68292618,0.649658203,-106.7501221,0.508715987,Not found,Not found,-91.34326935,6.793473721,147.2001038,N/A,N/A
2,1,1,A,2136.5,2138.300293,1.991999984,-44.10625839,0.700195313,2137.200195,-9.926569939,0,2136.5,Not found,-22.0531292,0.198995546,Not found,0.722540379,0.716971695,-67.40196228,0.25,30.48780441,0.949951172,Not found,Not found,Not found,Not found,-60.35603333,38.46154022,26,N/A,N/A
2,1,1,A,2305,2306.5,1.991999984,-47.76836777,0.700195313,2305.700195,-8.705866814,0,2305,Not found,-23.88418388,0.207401663,Not found,0.619717062,1.572825432,-73.52941132,0.25,42.68292618,0.449951172,Not found,Not found,Not found,Not found,-51.08298874,5.934718132,168.5,N/A,N/A
2,1,1,A,2308.5,2310,1.991999984,-31.28887558,0.600097656,2309.100098,-22.13360214,0,2308.5,Not found,-15.64443779,Not found,Not found,0.540966213,0.114063121,-24.50980377,0.25,18.38235283,0.649902344,Not found,Not found,Not found,Not found,-43.4541893,294.1260986,3.399902344,N/A,N/A
2,1,1,A,2647.600098,2649,1.991999984,-38.00274277,0.699707031,2648.299805,-2.602351665,0,2647.600098,Not found,-19.00137138,0.21409148,Not found,0.395544052,0.521933973,-85.78431702,0.149902344,30.63725471,0.450195313,-76.32907104,0.428314716,Not found,Not found,-39.40999603,2.948115826,339.199707,N/A,N/A
2,1,1,A,2743,2745.200195,1.991999984,-50.82012558,1.200195313,2744.200195,-13.58867931,0,2743,Not found,-25.41006279,0.29193747,Not found,1.601014614,1.319043517,-49.01960754,0.25,36.76470566,0.549804688,Not found,Not found,Not found,Not found,-80.07085419,10.42748642,95.90039063,N/A,N/A
2,1,1,A,2810.5,2811.899658,1.991999984,-33.11993027,0.600097656,2811.100098,-14.19903088,0,2810.5,Not found,-16.55996513,Not found,Not found,0.678061545,0.223009154,-42.68292618,0.150146484,24.50980377,0.649902344,Not found,Not found,Not found,Not found,-39.21054077,14.94770527,66.89990234,N/A,N/A
2,1,1,A,2945,2946.399658,1.991999984,-33.11993027,0.799804688,2945.799805,-20.30254745,0,2945,Not found,-16.55996513,Not found,Not found,1.360355377,0.218176857,-24.39024353,0.050048828,24.50980377,0.450195313,Not found,Not found,Not found,Not found,-39.88228607,7.423921108,134.699707,N/A,N/A
