Letter,Cell,Sex,X,Y,Age,Animal,Synapses,Treatment,Category
A,1.1.1,Male,NA,NA,31,1,Glutamate,None,1
C0,2.1.1,Male,NA,NA,29,2,Glutamate,None,1
C,2.2.1,Male,NA,NA,29,2,Glutamate,None,1
D,4.1.2,Male,NA,NA,31,4,Glutamate,None,1
E,5.1.2,Male,NA,NA,32,5,Glutamate,None,1
U,11.2.1,Male,165.2896875,82.934375,29,11,Glutamate,None,1
Y,12.2.3,Male,330.579375,165.86875,30,12,Glutamate,None,1
AK,16.2.2,Male,385.6759375,248.803125,38,16,Glutamate,None,1
AP,18.1.2,Female,275.4828125,165.86875,29,18,Glutamate,None,1
AR,18.2.2,Female,275.4828125,315.150625,29,18,Glutamate,None,1
AT,19.3.2,Female,418.733875,298.56375,30,19,Glutamate,None,1
BE,22.4.2,Female,362.41,285.12625,38,22,Glutamate,None,1
BG,23.1.2,Female,288.5325,396.06875,39,23,Glutamate,L-NAME,1
CO,38.1.3,Female,219.79,52.54,42,38,Glutamate,None,2
BN,25.1.2,Male,152.92125,337.18875,29,25,Glutamate,None,2
AZ,21.1.1,Female,352.618,331.7375,32,21,Glutamate,None,2
AW,20.4.1,Female,165.2896875,265.39,31,20,Glutamate,None,2
AV,20.3.1,Female,55.0965625,248.803125,31,20,Glutamate,None,2
AO,17.1.1,Male,NA,NA,39,17,Glutamate,None,2
AM,16.2.2,Male,385.6759375,248.803125,38,16,Glutamate,None,2
AH,16.1.2,Male,242.424875,315.150625,38,16,Glutamate,None,2
AD,14.2.1,Male,462.811125,265.39,36,14,Glutamate,None,2
S,11.1.2,Male,242.424875,315.150625,29,11,Glutamate,None,2
R,10.1.1,Male,418.733875,348.324375,28,10,Glutamate,None,2
BO,27.2.1,Male,NA,NA,32,27,Glutamate,HNMPA,2
BP,27.4.1,Male,394.7275,440.65125,32,27,Glutamate,HNMPA,2
BQ,29.1.2,Male,220.5225,307.755,36,29,Glutamate,HNMPA,2
BT,30.2.1,Male,387.1925,586.98375,37,30,Glutamate,HNMPA,2
CG,35.1.3,Female,164.18,366.52,36,35,Glutamate,HNMPA,2
CK,36.1.1,Female,274.23,441.42,37,36,Glutamate,HNMPA,2
L,8.5.2.1,Male,NA,NA,38,8.5,Glutamate,None,2
CP,39.1.1,Female,330.12,364.27,43,39,Glutamate,HNMPA,2
CS,39.3.1,Female,328.68,382.46,43,39,Glutamate,HNMPA,2
CY,41.2.1,Male,296.51,492.9,28,41,Glutamate,HNMPA,2
CZ,41.2.2,Male,296.51,492.9,28,41,Glutamate,HNMPA,2
DD,42.2.3,Male,722.64,688.49,29,42,Glutamate,HNMPA,2
DK,44.1.2,Male,211.06,535.23,31,44,Glutamate,AM251,2
DN,45.1.1,Male,236.24,410.59,32,45,Glutamate,AM251,2
DR,47.1.1,Male,272.88,413.59,38,47,Glutamate,AM251,2
DZ,51.1.1,Male,379.52,585.96,31,51,Glutamate,Fasting,2
EB,51.1.2,Male,332.84,810.72,31,51,Glutamate,Fasting,2
EJ,54.1.2,Male,280.21,541.16,38,54,Glutamate,Fasting,2
EV,59.2.2,Male,136.61,757.52,36,59,Glutamate,Fasting,2
EW,59.3.1,Male,350.27,539.41,36,59,Glutamate,Fasting,2
EZ,60.1.1,Male,263.32,425.15,37,60,Glutamate,Fasting,2
FA,60.2.1,Male,175.17,452.72,37,60,Glutamate,Fasting,2
FF,62.1.1,Male,294.44,496.5,39,62,Glutamate,Fasting,2
FG,62.3.1,Male,176.72,501.66,39,62,Glutamate,Fasting,2
K,8.1.1,Male,NA,NA,38,8,Glutamate,None,2
H,7.1.1,Male,NA,NA,37,7,Glutamate,None,2
F,6.1.2,Male,NA,NA,35,6,Glutamate,None,3
I,7.1.1,Male,NA,NA,37,7,Glutamate,None,3
M,8.5.3.2,Male,NA,NA,38,8.5,Glutamate,None,3
O,9.1.3,Male,286.502125,165.86875,39,9,Glutamate,None,3
W,12.2.1,Male,330.579375,165.86875,30,12,Glutamate,None,3
AF,15.2.2,Male,275.4828125,248.803125,37,15,Glutamate,None,3
AI,16.1.2,Male,242.424875,315.150625,38,16,Glutamate,None,3
BB,21.2.1,Female,275.4828125,315.150625,32,21,Glutamate,None,3
BJ,24.1.2,Female,168.45875,458.21875,42,24,Glutamate,None,3
BL,24.2.1,Female,73.32625,378.6225,42,24,Glutamate,None,3
BR,29.1.2,Male,220.5225,307.755,36,29,Glutamate,HNMPA,3
BU,30.2.2,Male,447.62875,263.9,37,30,Glutamate,HNMPA,3
CA,32.2.2,Male,223.06,417.69,39,32,Glutamate,HNMPA,3
CQ,39.2.1,Female,479.86,591.07,43,39,Glutamate,HNMPA,3
CU,40.1.1,Female,325.97,477.08,44,40,Glutamate,HNMPA,3
DA,41.2.2,Male,296.51,492.9,28,41,Glutamate,HNMPA,3
DL,44.1.2,Male,211.06,535.23,31,44,Glutamate,AM251,3
DS,47.1.1,Male,272.88,413.59,38,47,Glutamate,AM251,3
EK,54.2.2,Male,343.32,667.8,38,54,Glutamate,Fasting,3
EL,54.2.3,Male,407.87,596.64,38,54,Glutamate,Fasting,3
B,1.1.1,Male,NA,NA,31,1,Glutamate,None,4
V,11.2.1,Male,165.2896875,82.934375,29,11,Glutamate,None,4
Z,12.2.3,Male,330.579375,165.86875,30,12,Glutamate,None,4
AL,16.2.2,Male,385.6759375,248.803125,38,16,Glutamate,None,4
AQ,18.1.2,Female,275.4828125,165.86875,29,18,Glutamate,None,4
AS,18.2.2,Female,275.4828125,315.150625,29,18,Glutamate,None,4
AU,19.3.2,Female,418.733875,298.56375,30,19,Glutamate,None,4
BD,22.2.1,Female,91.1825,267.10875,38,22,Glutamate,None,4
BF,22.4.2,Female,362.41,285.12625,38,22,Glutamate,None,4
BH,23.1.2,Female,288.5325,396.06875,39,23,Glutamate,L-NAME,4
G,6.1.2,Male,NA,NA,35,6,Glutamate,None,5
J,7.1.1,Male,NA,NA,37,7,Glutamate,None,5
N,8.5.3.2,Male,NA,NA,38,9,Glutamate,None,5
Q,9.2.1,Male,165.2896875,331.7375,39,9,Glutamate,None,5
T,11.1.2,Male,242.424875,315.150625,29,11,Glutamate,None,5
X,12.2.1,Male,330.579375,165.86875,30,12,Glutamate,None,5
AC,13.2.1,Male,165.2896875,215.629375,31,13,Glutamate,None,5
AG,15.2.2,Male,275.4828125,248.803125,37,15,Glutamate,None,5
AJ,16.1.2,Male,242.424875,315.150625,38,16,Glutamate,None,5
AN,16.2.2,Male,385.6759375,248.803125,38,16,Glutamate,None,5
AY,20.4.1,Female,165.2896875,265.39,31,20,Glutamate,None,5
BK,24.1.2,Female,168.45875,458.21875,42,24,Glutamate,None,5
BM,24.2.1,Female,73.32625,378.6225,42,24,Glutamate,None,5
BS,29.1.2,Male,220.5225,307.755,36,29,Glutamate,HNMPA,5
BV,30.2.2,Male,447.62875,263.9,37,30,Glutamate,HNMPA,5
BZ,32.2.2,Male,426.4375,663.7,39,32,Glutamate,HNMPA,5
CB,32.2.2,Male,223.06,417.69,39,32,Glutamate,HNMPA,5
CD,34.1.1,Female,365.52,354.64,35,34,Glutamate,HNMPA,5
CF,34.3.1,Female,225.58,503.56,35,34,Glutamate,HNMPA,5
CH,35.1.3,Female,164.18,366.52,36,35,Glutamate,HNMPA,5
CJ,35.2.3,Female,298.54,252.54,36,35,Glutamate,HNMPA,5
CL,36.1.1,Female,274.23,441.42,37,36,Glutamate,HNMPA,5
CN,36.2.2,Female,410.68,762.7,37,36,Glutamate,HNMPA,5
