Letter,State,Time_of_Threshold,t_x,t_11,ID,First_sweep_with_APs,Trace_start,Peak_amplitude,R2S1_Peak,Time_to_Peak,Antipeak_amplitude,Time_of_antipeak,Half_width,Sweep,No_of_APs,Notes
K,Baseline,566.7999878,-30.15136719,10.37217808,23608001.abf,5,4021,83.52661133,-34.75952148,568.0999756,-24.07836914,573.5,1.81995213,1,0,Fine-AP-a-bit-later
K,Baseline,566.7999878,-30.15136719,10.37217808,23608001.abf,5,4021,83.52661133,-34.75952148,568.0999756,-24.07836914,573.5,1.81995213,2,0,
K,Baseline,566.7999878,-30.15136719,10.37217808,23608001.abf,5,4021,83.52661133,-34.75952148,568.0999756,-24.07836914,573.5,1.81995213,3,0,
K,Baseline,566.7999878,-30.15136719,10.37217808,23608001.abf,5,4021,83.52661133,-34.75952148,568.0999756,-24.07836914,573.5,1.81995213,4,0,
K,Baseline,566.7999878,-30.15136719,10.37217808,23608001.abf,5,4021,83.52661133,-34.75952148,568.0999756,-24.07836914,573.5,1.81995213,5,2,
K,Baseline,566.7999878,-30.15136719,10.37217808,23608001.abf,5,4021,83.52661133,-34.75952148,568.0999756,-24.07836914,573.5,1.81995213,6,3,
K,Baseline,566.7999878,-30.15136719,10.37217808,23608001.abf,5,4021,83.52661133,-34.75952148,568.0999756,-24.07836914,573.5,1.81995213,7,4,
K,Baseline,566.7999878,-30.15136719,10.37217808,23608001.abf,5,4021,83.52661133,-34.75952148,568.0999756,-24.07836914,573.5,1.81995213,8,5,
K,Baseline,566.7999878,-30.15136719,10.37217808,23608001.abf,5,4021,83.52661133,-34.75952148,568.0999756,-24.07836914,573.5,1.81995213,9,5,
K,Baseline,566.7999878,-30.15136719,10.37217808,23608001.abf,5,4021,83.52661133,-34.75952148,568.0999756,-24.07836914,573.5,1.81995213,10,6,
K,Insulin,375.3999939,-37.59765625,14.64754391,23608008.abf,8,7021,79.25415039,-30.57861328,376.6000061,-24.99389648,382.2000122,1.802949667,1,0,
K,Insulin,375.3999939,-37.59765625,14.64754391,23608008.abf,8,7021,79.25415039,-30.57861328,376.6000061,-24.99389648,382.2000122,1.802949667,2,0,
K,Insulin,375.3999939,-37.59765625,14.64754391,23608008.abf,8,7021,79.25415039,-30.57861328,376.6000061,-24.99389648,382.2000122,1.802949667,3,0,
K,Insulin,375.3999939,-37.59765625,14.64754391,23608008.abf,8,7021,79.25415039,-30.57861328,376.6000061,-24.99389648,382.2000122,1.802949667,4,0,
K,Insulin,375.3999939,-37.59765625,14.64754391,23608008.abf,8,7021,79.25415039,-30.57861328,376.6000061,-24.99389648,382.2000122,1.802949667,5,0,
K,Insulin,375.3999939,-37.59765625,14.64754391,23608008.abf,8,7021,79.25415039,-30.57861328,376.6000061,-24.99389648,382.2000122,1.802949667,6,0,
K,Insulin,375.3999939,-37.59765625,14.64754391,23608008.abf,8,7021,79.25415039,-30.57861328,376.6000061,-24.99389648,382.2000122,1.802949667,7,0,
K,Insulin,375.3999939,-37.59765625,14.64754391,23608008.abf,8,7021,79.25415039,-30.57861328,376.6000061,-24.99389648,382.2000122,1.802949667,8,1,
K,Insulin,375.3999939,-37.59765625,14.64754391,23608008.abf,8,7021,79.25415039,-30.57861328,376.6000061,-24.99389648,382.2000122,1.802949667,9,2,
K,Insulin,375.3999939,-37.59765625,14.64754391,23608008.abf,8,7021,79.25415039,-30.57861328,376.6000061,-24.99389648,382.2000122,1.802949667,10,2,
L,Baseline,359.1000061,-29.05273438,10.37534332,23608017.abf,5,4021,70.25146484,-22.58300781,360.3999939,-31.31103516,364,1.341849566,1,0,
L,Baseline,359.1000061,-29.05273438,10.37534332,23608017.abf,5,4021,70.25146484,-22.58300781,360.3999939,-31.31103516,364,1.341849566,2,0,
L,Baseline,359.1000061,-29.05273438,10.37534332,23608017.abf,5,4021,70.25146484,-22.58300781,360.3999939,-31.31103516,364,1.341849566,3,0,
L,Baseline,359.1000061,-29.05273438,10.37534332,23608017.abf,5,4021,70.25146484,-22.58300781,360.3999939,-31.31103516,364,1.341849566,4,0,
L,Baseline,359.1000061,-29.05273438,10.37534332,23608017.abf,5,4021,70.25146484,-22.58300781,360.3999939,-31.31103516,364,1.341849566,5,3,
L,Baseline,359.1000061,-29.05273438,10.37534332,23608017.abf,5,4021,70.25146484,-22.58300781,360.3999939,-31.31103516,364,1.341849566,6,3,
L,Baseline,359.1000061,-29.05273438,10.37534332,23608017.abf,5,4021,70.25146484,-22.58300781,360.3999939,-31.31103516,364,1.341849566,7,5,
L,Baseline,359.1000061,-29.05273438,10.37534332,23608017.abf,5,4021,70.25146484,-22.58300781,360.3999939,-31.31103516,364,1.341849566,8,8,
L,Baseline,359.1000061,-29.05273438,10.37534332,23608017.abf,5,4021,70.25146484,-22.58300781,360.3999939,-31.31103516,364,1.341849566,9,1,Check-half-aps
L,Baseline,359.1000061,-29.05273438,10.37534332,23608017.abf,5,4021,70.25146484,-22.58300781,360.3999939,-31.31103516,364,1.341849566,10,0,
L,Insulin,376,-25.57373047,10.98565769,23608025.abf,9,8021,51.51367188,-20.7824707,377.5,-38.7878418,382.7000122,1.697765589,1,0,
L,Insulin,376,-25.57373047,10.98565769,23608025.abf,9,8021,51.51367188,-20.7824707,377.5,-38.7878418,382.7000122,1.697765589,2,0,
L,Insulin,376,-25.57373047,10.98565769,23608025.abf,9,8021,51.51367188,-20.7824707,377.5,-38.7878418,382.7000122,1.697765589,3,0,
L,Insulin,376,-25.57373047,10.98565769,23608025.abf,9,8021,51.51367188,-20.7824707,377.5,-38.7878418,382.7000122,1.697765589,4,0,
L,Insulin,376,-25.57373047,10.98565769,23608025.abf,9,8021,51.51367188,-20.7824707,377.5,-38.7878418,382.7000122,1.697765589,5,0,
L,Insulin,376,-25.57373047,10.98565769,23608025.abf,9,8021,51.51367188,-20.7824707,377.5,-38.7878418,382.7000122,1.697765589,6,0,
L,Insulin,376,-25.57373047,10.98565769,23608025.abf,9,8021,51.51367188,-20.7824707,377.5,-38.7878418,382.7000122,1.697765589,7,0,
L,Insulin,376,-25.57373047,10.98565769,23608025.abf,9,8021,51.51367188,-20.7824707,377.5,-38.7878418,382.7000122,1.697765589,8,0,
L,Insulin,376,-25.57373047,10.98565769,23608025.abf,9,8021,51.51367188,-20.7824707,377.5,-38.7878418,382.7000122,1.697765589,9,1,
L,Insulin,376,-25.57373047,10.98565769,23608025.abf,9,8021,51.51367188,-20.7824707,377.5,-38.7878418,382.7000122,1.697765589,10,1,
R,Baseline,379.2999878,-33.08105469,12.20628643,23612001.abf,5,4021,72.47924805,-16.90673828,380.2999878,-24.26147461,386,1.584090352,1,0,
R,Baseline,379.2999878,-33.08105469,12.20628643,23612001.abf,5,4021,72.47924805,-16.90673828,380.2999878,-24.26147461,386,1.584090352,2,0,
R,Baseline,379.2999878,-33.08105469,12.20628643,23612001.abf,5,4021,72.47924805,-16.90673828,380.2999878,-24.26147461,386,1.584090352,3,0,
R,Baseline,379.2999878,-33.08105469,12.20628643,23612001.abf,5,4021,72.47924805,-16.90673828,380.2999878,-24.26147461,386,1.584090352,4,0,
R,Baseline,379.2999878,-33.08105469,12.20628643,23612001.abf,5,4021,72.47924805,-16.90673828,380.2999878,-24.26147461,386,1.584090352,5,2,
R,Baseline,379.2999878,-33.08105469,12.20628643,23612001.abf,5,4021,72.47924805,-16.90673828,380.2999878,-24.26147461,386,1.584090352,6,3,
R,Baseline,379.2999878,-33.08105469,12.20628643,23612001.abf,5,4021,72.47924805,-16.90673828,380.2999878,-24.26147461,386,1.584090352,7,4,
R,Baseline,379.2999878,-33.08105469,12.20628643,23612001.abf,5,4021,72.47924805,-16.90673828,380.2999878,-24.26147461,386,1.584090352,8,5,
R,Baseline,379.2999878,-33.08105469,12.20628643,23612001.abf,5,4021,72.47924805,-16.90673828,380.2999878,-24.26147461,386,1.584090352,9,5,
R,Baseline,379.2999878,-33.08105469,12.20628643,23612001.abf,5,4021,72.47924805,-16.90673828,380.2999878,-24.26147461,386,1.584090352,10,3,
R,Insulin,383.6000061,-37.84179688,15.25785732,23612011.abf,5,4021,42.63305664,-4.852294922,384.8999939,-13.42773438,393.8999939,2.154090166,1,0,
R,Insulin,383.6000061,-37.84179688,15.25785732,23612011.abf,5,4021,42.63305664,-4.852294922,384.8999939,-13.42773438,393.8999939,2.154090166,2,0,
R,Insulin,383.6000061,-37.84179688,15.25785732,23612011.abf,5,4021,42.63305664,-4.852294922,384.8999939,-13.42773438,393.8999939,2.154090166,3,0,
R,Insulin,383.6000061,-37.84179688,15.25785732,23612011.abf,5,4021,42.63305664,-4.852294922,384.8999939,-13.42773438,393.8999939,2.154090166,4,0,
R,Insulin,383.6000061,-37.84179688,15.25785732,23612011.abf,5,4021,42.63305664,-4.852294922,384.8999939,-13.42773438,393.8999939,2.154090166,5,2,
R,Insulin,383.6000061,-37.84179688,15.25785732,23612011.abf,5,4021,42.63305664,-4.852294922,384.8999939,-13.42773438,393.8999939,2.154090166,6,4,
R,Insulin,383.6000061,-37.84179688,15.25785732,23612011.abf,5,4021,42.63305664,-4.852294922,384.8999939,-13.42773438,393.8999939,2.154090166,7,6,
