Letter,ID,P1,P2
EP,23n02008.abf,-93.80942535,-40.09849167
EP,23n02008.abf,-146.1791992,-9.460449219
EP,23n02008.abf,-103.1574478,-55.55002213
EP,23n02008.abf,-107.4299088,-23.20139122
EP,23n02008.abf,-95.59230042,-35.77784348
EP,23n02008.abf,-102.9004517,-29.65826797
EP,23n02008.abf,-82.967659,-39.63269806
EP,23n02008.abf,-95.86534882,-32.38878632
EP,23n02008.abf,-63.3801918,-16.38312149
EP,23n02008.abf,-83.19252777,-25.20912552
EP,23n02008.abf,-96.75678253,-16.80072975
EP,23n02008.abf,-110.4415054,-11.56455612
EP,23n02008.abf,-98.14614105,-25.5143013
EP,23n02008.abf,-75.74784088,-31.19217682
EP,23n02008.abf,-98.15416718,-37.11901093
EP,23n02008.abf,-74.98490143,-38.36380768
EP,23n02008.abf,-67.93373871,-28.87123489
EP,23n02008.abf,-96.93346405,-33.45690155
EP,23n02008.abf,-91.91412354,-33.32037735
EP,23n02008.abf,-114.8906479,-34.93459702
EP,23n02008.abf,-72.98519897,-5.846525669
EP,23n02008.abf,-64.26359558,-31.91496277
EP,23n02008.abf,-93.2151413,-15.70049095
EP,23n02008.abf,-125.1863174,-25.08866119
EP,23n02008.abf,-91.55273438,-32.34863281
EP,23n02008.abf,-99.42305756,-20.68770599
EP,23n02008.abf,-93.68093109,-16.16628456
EP,23n02008.abf,-87.99502563,-12.92178535
EP,23n02008.abf,-83.69847107,-11.06663799
EP,23n02008.abf,-84.42125702,-43.52770233
EP,23n02008.abf,-115.3965988,-22.01281166
EP,23n02008.abf,-95.09438324,-21.24184036
EP,23n02008.abf,-78.3739624,-16.72845078
EP,23n02008.abf,-85.1681366,-37.56071472
EP,23n02008.abf,-68.76895142,-12.61660957
EP,23n02008.abf,-86.33261871,-23.46641159
EP,23n02008.abf,-79.69906616,-37.58480835
EP,23n02008.abf,-109.3733902,-9.275737762
EP,23n02008.abf,-120.1830444,-12.76116657
EP,23n02008.abf,-108.224968,-39.25524139
EP,23n02008.abf,-77.6832962,-34.34833908
EP,23n02008.abf,-89.92245483,-20.3423748
EP,23n02008.abf,-105.9441833,-33.31234741
EP,23n02008.abf,-93.44803619,-10.44022369
EP,23n02008.abf,-96.44358063,-18.92893028
EP,23n02008.abf,-60.84241486,-36.42835236
EP,23n02008.abf,-79.76331329,-7.741827488
EP,23n02008.abf,-83.63422394,-18.93696022
EP,23n02008.abf,-84.46944427,-16.11006927
EP,23n02008.abf,-45.27845001,-18.42297935
EP,23n02008.abf,-72.41500092,-15.04195404
EP,23n02008.abf,-66.29542542,-24.1811657
EP,23n02008.abf,-106.7793961,-32.31650925
EP,23n02008.abf,-82.99977875,-34.78200912
EP,23n02008.abf,-79.03249359,-21.65944862
EP,23n02008.abf,-83.99562073,-33.33643723
EP,23n02008.abf,-78.90399933,-13.59638405
EP,23n02008.abf,-60.39268112,-12.78525925
EP,23n02008.abf,-74.59138489,-15.99763584
EP,23n02008.abf,-92.82162476,-10.42416191
EP,23n02009.abf,-83.12827301,-26.36558151
EP,23n02009.abf,-54.02414322,-18.6237545
EP,23n02009.abf,-77.76361084,-13.67669392
EP,23n02009.abf,-66.86562347,-19.86854935
EP,23n02009.abf,-79.73118591,-16.25462532
EP,23n02009.abf,-61.58126068,-15.80489349
EP,23n02009.abf,-83.15236664,-19.06545448
EP,23n02009.abf,-82.58217621,-37.41615677
EP,23n02009.abf,-72.16603851,-18.45510292
EP,23n02009.abf,-76.6392746,-19.26622963
EP,23n02009.abf,-114.6336594,-25.52233315
EP,23n02009.abf,-65.31565094,-18.31857872
EP,23n02009.abf,-99.96916199,-21.23381042
EP,23n02009.abf,-70.08602905,-34.68563843
EP,23n02009.abf,-81.40965271,-19.7641468
EP,23n02009.abf,-85.37693787,-20.67967415
EP,23n02009.abf,-86.37277985,-20.45480919
EP,23n02009.abf,-87.07949829,-31.53750801
EP,23n02009.abf,-70.86502838,-17.76444244
EP,23n02009.abf,-90.45249176,-22.70347214
EP,23n02009.abf,-82.79097748,-44.9491806
EP,23n02009.abf,-94.50009155,-20.64755058
EP,23n02009.abf,-81.90756989,-29.41733932
EP,23n02009.abf,-64.56073761,-30.99140358
EP,23n02009.abf,-94.0102005,-16.49555397
EP,23n02009.abf,-80.62261963,-21.41852188
EP,23n02009.abf,-85.97122955,-16.39115143
EP,23n02009.abf,-88.63750458,-16.6160183
EP,23n02009.abf,-83.2808609,-30.18027878
EP,23n02009.abf,-95.19075012,-14.62434483
EP,23n02009.abf,-93.38378906,-10.37597656
EP,23n02009.abf,-96.94952393,-20.65558243
EP,23n02009.abf,-100.8686295,-19.08151817
EP,23n02009.abf,-98.82876587,-29.85904121
EP,23n02009.abf,-72.92095184,-21.04106712
EP,23n02009.abf,-87.15177917,-30.38908386
EP,23n02009.abf,-98.06582642,-42.52383423
EP,23n02009.abf,-58.97120285,-14.41553974
EP,23n02009.abf,-89.78592682,-17.76444244
EP,23n02009.abf,-81.3293457,-13.58032227
EP,23n02009.abf,-92.17111969,-12.8254137
EP,23n02009.abf,-70.95336914,-16.63208008
EP,23n02009.abf,-84.14017487,-15.1704483
EP,23n02009.abf,-70.67228699,-15.74064541
EP,23n02009.abf,-83.95546722,-14.98573685
EP,23n02009.abf,-91.86594391,-11.90988636
EP,23n02009.abf,-86.89479065,-21.58717155
EP,23n02009.abf,-60.15978241,-30.86290932
EP,23n02009.abf,-99.74429321,-24.06070137
EP,23n02009.abf,-76.65533447,-21.1133461
EP,23n02009.abf,-86.45308685,-12.60054779
EP,23n02009.abf,-89.56105804,-12.65676403
EP,23n02009.abf,-90.28384399,-12.1588459
EP,23n02009.abf,-79.32964325,-17.68413353
EP,23n02009.abf,-68.05419922,-14.95361328
EP,23n02009.abf,-87.24814606,-13.39561081
EP,23n02009.abf,-29.95541191,-92.82162476
EP,23n02009.abf,-112.8668518,-13.37954903
EP,23n02009.abf,-58.97120285,-7.091321468
EP,23n02009.abf,-99.39093018,-14.55206585
EP,23n02010.abf,-111.3971939,-7.02707386
EP,23n02010.abf,-73.21006012,-16.44736862
